TMDB ID,Title,Year,URL
90228,Dune: Prophecy,2024,https://www.youtube.com/watch?v=CzVHWNosS2o
8624,Eastbound & Down,2009,https://www.youtube.com/watch?v=bKsij5MogIA
122226,Echo,2023,https://www.youtube.com/watch?v=AFUKnherhuw
606,"Ed, Edd n Eddy",1999,https://www.youtube.com/watch?v=LN5ICphT5mQ
21750,Eden of the East,2009,https://www.youtube.com/watch?v=4d4cNSOJ_L8
56590,The Eric Andre Show,2012,https://www.youtube.com/watch?v=h58BN-w-lxg
85552,Euphoria,2019,https://www.youtube.com/watch?v=UR4Pxgnm-GA
3200,Even Stevens,2000,https://www.youtube.com/watch?v=IZZkm6NkbWY
63522,F is for Family,2015,https://www.youtube.com/watch?v=F-2g8xAQI_w
4630,The Fairly OddParents,2001,https://www.youtube.com/watch?v=Lg8n_CA5BMY
88396,The Falcon and The Winter Soldier,2021,https://www.youtube.com/watch?v=IWBsDaFWyTE
157065,The Fall of the House of Usher,2023,https://www.youtube.com/watch?v=yvuAWVzP6wI
106379,Fallout,2024,https://www.youtube.com/watch?v=7h8zJHywjAw
1434,Family Guy,1999,https://www.youtube.com/watch?v=J32iwo65RMc
132117,Farzi,2023,https://www.youtube.com/watch?v=rcQ_xZdzPBc
62286,Fear the Walking Dead,2015,https://www.youtube.com/watch?v=yzXglr5bc3w
74387,Final Space,2018,https://www.youtube.com/watch?v=4EHbt_kSkG8
126726,Fired on Mars,2023,https://www.youtube.com/watch?v=HmuoFRg2fWM
5895,FLCL,2000,https://www.youtube.com/watch?v=yYTnHjD6GuE
87917,For All Mankind,2019,https://www.youtube.com/watch?v=HZS9M52Bd_w
1720,Foster's Home for Imaginary Friends,2004,https://www.youtube.com/watch?v=jAk3Ti1TIBI
93740,Foundation (2021),2021,https://www.youtube.com/watch?v=X4QYV5GTz7c
2382,Freaks and Geeks,1999,https://www.youtube.com/watch?v=E0oJ-uYWakw
124364,From,2022,https://www.youtube.com/watch?v=pDHqAj4eJcM
116155,Frozen Planet II,2022,https://www.youtube.com/watch?v=XIZd_wsLYwQ
4313,Full House,1987,https://www.youtube.com/watch?v=SDP7__2F1YE
31911,Fullmetal Alchemist: Brotherhood,2009,https://www.youtube.com/watch?v=-GoNo0DGroU
615,Futurama,1999,https://www.youtube.com/watch?v=GxEY6KNsz44
46671,The Future Diary,2011,https://www.youtube.com/watch?v=KfznTm8mJA4
129412,Game Changer,2019,https://www.youtube.com/watch?v=VfyWwpTmXJk
